Wall time,Step,Value
1638164245.075343,5250000,-0.4199479818344116
1638164342.6381059,5300000,-0.6573697924613953
1638164443.8914635,5350000,-0.6699770092964172
1638164560.7656114,5400000,-0.7488345503807068
1638164701.0771806,5450000,-0.37292906641960144
1638164809.1037505,5500000,-0.665178656578064
1638164926.933925,5550000,-0.5068459510803223
1638165044.9358459,5600000,-0.34458789229393005
1638165141.5405378,5650000,-0.7925769686698914
1638165253.7747166,5700000,-0.6989445090293884
1638165377.105334,5750000,-0.5431610345840454
1638165503.1779187,5800000,-0.5105000734329224
1638165615.1126778,5850000,-0.47228720784187317
1638165738.7579942,5900000,-0.7888107895851135
1638165849.6817799,5950000,-0.18277817964553833
1638165974.1870654,6000000,-0.3605600595474243
1638166092.6955752,6050000,-0.3838500678539276
1638166224.833008,6100000,-0.5074244141578674
1638166333.0971844,6150000,-0.43157777190208435
1638166461.7791502,6200000,-0.5022298097610474
1638166587.7681856,6250000,-0.4013133943080902
1638166707.5547247,6300000,-0.5373425483703613
1638166831.1502192,6350000,-0.4506833851337433
1638166940.2760222,6400000,-0.5772536396980286
1638167043.623302,6450000,-0.495942085981369
1638167150.9929068,6500000,-0.4762500524520874
1638167265.443389,6550000,-0.5780035853385925
1638167392.4949892,6600000,-0.48754552006721497
1638167506.7196596,6650000,-0.4914928078651428
1638167633.9566267,6700000,-0.5265467166900635
1638167757.413906,6750000,-0.4586513638496399
1638167891.9092836,6800000,-0.5283060073852539
1638168019.6950517,6850000,-0.288421094417572
1638168130.3758736,6900000,-0.5399897694587708
1638168247.3911376,6950000,-0.4880833923816681
1638168362.6226192,7000000,-0.48766908049583435
1638168462.0938342,7050000,-0.5090221166610718
1638168571.5738182,7100000,-0.46065977215766907
1638168667.4012306,7150000,-0.584053635597229
1638168770.9245527,7200000,-0.2912634015083313
1638168866.7906866,7250000,-0.6983582973480225
1638168973.4004204,7300000,-0.3102300465106964
1638169092.2140994,7350000,-0.4448649287223816
1638169200.3385508,7400000,-0.3924667239189148
1638169318.6456485,7450000,-0.18276530504226685
1638169430.1885836,7500000,-0.4551336169242859
1638170097.1047695,7550000,-0.6707009673118591
1638170210.3774939,7600000,-0.6905528903007507
1638170331.5737936,7650000,-0.6481910347938538
1638170457.2250469,7700000,-0.39686518907546997
1638170602.2571661,7750000,-0.3845422565937042
1638247167.4480622,7800000,-0.8376811146736145
1638247261.2020214,7850000,-0.6844565868377686
1638247353.8806403,7900000,-0.7157429456710815
1638247446.9182146,7950000,-0.4880857765674591
1638247537.3912575,8000000,-0.7417107820510864
1638247630.9072793,8050000,-0.3497632145881653
1638247722.4203246,8100000,-0.5224500894546509
1638247814.4503155,8150000,-0.5967671871185303
1638247906.3833067,8200000,-0.5088224411010742
1638247996.7808862,8250000,-0.23749689757823944
1638248091.2862947,8300000,-0.48377785086631775
1638248180.6212935,8350000,-0.2944869101047516
1638248271.8633487,8400000,-0.5100709795951843
1638248363.3673458,8450000,-0.2499295473098755
1638248454.0973444,8500000,-0.28477221727371216
1638248548.6703453,8550000,-0.5151883959770203
1638248639.2406158,8600000,-0.22464808821678162
1638248732.665616,8650000,-0.33686715364456177
1638248826.0436153,8700000,-0.16430455446243286
1638248917.4096467,8750000,0.00506542669609189
1638249010.7190068,8800000,-0.0286189503967762
1638249101.810236,8850000,-0.20350877940654755
1638249193.8383117,8900000,-0.19660191237926483
1638249285.2861586,8950000,-0.34620338678359985
1638249378.7362216,9000000,-0.3732391893863678
1638249471.9490328,9050000,-0.31983956694602966
1638249563.0160668,9100000,-0.2248636931180954
1638249656.1660976,9150000,-0.21772761642932892
1638249746.7579052,9200000,-0.36874666810035706
1638249839.3589063,9250000,-0.13183829188346863
1638249930.0959764,9300000,-0.2869757413864136
1638250021.7086072,9350000,-0.08972325921058655
1638250114.5038314,9400000,0.012938977219164371
1638250205.5663545,9450000,-0.09982836991548538
1638250298.293355,9500000,-0.11622504889965057
1638250388.521318,9550000,-0.06905525177717209
1638250482.1769385,9600000,-0.23195375502109528
1638250571.9743845,9650000,-0.16539335250854492
1638250665.1962876,9700000,-0.07127249240875244
1638250758.9028192,9750000,0.0004758454451803118
1638250850.865791,9800000,-0.023244300857186317
1638250941.1317883,9850000,-0.01881476119160652
1638251033.2619114,9900000,-0.3209112286567688
1638251125.553518,9950000,0.015339229255914688
1638251215.0775466,10000000,-0.18132103979587555
